HH_ID,MEM_ID
77051739,1
77051739,2
77051739,4
77051739,5
77051739,6
77051739,7
77051739,8
77051739,9
77051739,10
61287374,1
61287374,2
61287374,3
61287374,4
34049553,1
34049553,2
34049553,3
92526123,1
92526123,2
92526123,3
92526123,4
92526123,5
92526123,6
92526123,7
92526123,8
92526123,9
92526123,19
92526123,20
92526123,21
61508707,2
61508707,3
61508707,4
61508707,5
72780870,1
72780870,2
72780870,3
72780870,4
72780870,5
72780870,6
26606079,1
26606079,2
26606079,3
26606079,4
26606079,5
26606079,6
26606079,7
26606079,8
38215696,1
38215696,2
38215696,3
38215696,4
38215696,5
38215696,6
27609827,1
27609827,2
27609827,3
27609827,4
12500816,1
12500816,2
12500816,3
12500816,4
12500816,5
53735827,1
53735827,2
83789626,1
83789626,2
83789626,10
83789626,11
39023564,1
39023564,2
39023564,3
79385628,1
79385628,2
79385628,3
79385628,4
95230598,1
95230598,2
95230598,3
95230598,4
95230598,5
95230598,6
95230598,7
19776698,5
19776698,6
19776698,7
19776698,8
19776698,9
27082813,1
27082813,2
27082813,3
27082813,4
27082813,5
27082813,6
27082813,7
27082813,8
13767795,1
13767795,2
13767795,3
13767795,4
13767795,5
13767795,6
